timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,memory_mb,cpu_percent,flood_ratio
1779511881.9900985,1.99,478.19,138.06,199.01,726.66,41.3,0.3116
1779511882.4920926,1.98,471.41,130.7,200.09,726.78,42.9,0.3116
1779511882.9915352,1.98,468.4,128.74,197.44,726.67,40.8,0.3116
1779511883.5083964,1.97,485.78,146.4,194.8,726.76,42.6,0.3116
1779511884.0230732,1.97,484.01,139.44,204.16,726.95,44.7,0.3116
1779511884.528381,1.96,475.17,136.11,197.99,726.85,40.2,0.3116
1779511885.0300803,1.96,471.36,131.57,198.22,726.73,40.1,0.3116
1779511885.529416,2.0,467.08,138.72,187.71,726.85,41.4,0.3116
1779511886.037005,2.0,477.2,134.21,197.41,726.75,41.8,0.3116
1779511886.5402362,1.98,474.02,133.61,195.47,726.93,41.8,0.3116
1779511887.036385,1.98,464.83,126.62,194.79,726.66,46.6,0.3116
1779511887.5410674,2.0,475.25,131.89,202.92,726.62,46.1,0.3116
1779511888.0420594,2.0,470.82,133.8,196.5,727.11,43.1,0.3116
1779511888.550927,1.98,478.63,132.2,200.59,726.73,40.6,0.3116
1779511889.0673008,1.98,486.74,137.05,203.38,726.37,45.4,0.3116
1779511889.5634646,1.98,465.54,130.19,193.75,726.97,43.1,0.3116
1779511890.0758264,1.98,482.55,133.06,208.79,726.04,47.0,0.3116
1779511890.5797176,1.97,474.02,134.26,199.0,726.48,46.6,0.3116
1779511891.083431,1.97,472.62,130.35,196.68,727.57,41.5,0.3116
1779511891.5872216,1.99,472.56,132.41,199.43,726.85,47.6,0.3116
1779511892.0918279,1.99,474.56,136.19,197.82,726.53,41.4,0.3116
1779511892.596516,1.98,474.88,134.13,199.39,726.77,42.2,0.3116
1779511893.1049066,1.98,477.45,136.76,199.62,726.97,42.2,0.3116
1779511893.6091888,1.97,474.22,134.62,198.75,727.23,40.0,0.3116
1779511894.1162186,1.97,476.94,134.42,201.78,727.16,38.5,0.3116
1779511894.6140227,1.99,468.26,131.02,196.16,727.35,42.6,0.3116
1779511895.1224535,1.99,477.18,132.88,203.61,727.04,42.6,0.3116
1779511895.6271362,1.97,474.28,128.58,200.27,727.04,41.3,0.3116
1779511896.1125584,1.97,453.72,121.05,186.87,726.97,39.8,0.3116
1779511896.6245732,1.97,480.79,153.42,186.53,727.0,62.5,0.3116
1779511897.1204128,2.01,465.63,129.08,195.43,727.16,41.1,0.3116
1779511897.6368241,2.01,486.68,145.6,199.78,727.38,46.3,0.3116
1779511898.138056,1.97,470.72,132.5,197.14,727.36,42.0,0.3116
1779511898.6272159,1.97,458.27,127.46,190.27,727.33,46.3,0.3116
1779511899.1507602,1.97,493.74,140.37,212.58,727.03,48.0,0.3116
1779511899.6535141,1.97,471.76,136.05,195.12,727.0,46.2,0.3116
1779511900.1577663,1.99,473.8,133.3,198.92,726.87,43.2,0.3116
1779511900.6623926,1.99,472.57,131.63,200.36,727.13,42.0,0.3116
1779511901.1927195,1.93,498.3,149.58,202.68,726.83,43.7,0.3116
1779511901.6996453,1.93,475.56,128.76,205.77,724.95,42.6,0.3116
1779511902.2089334,1.97,479.02,131.33,206.81,726.72,45.6,0.3116
1779511902.7137778,1.97,474.47,135.32,198.45,727.57,42.3,0.3116
1779511903.2224326,1.97,478.77,132.47,200.78,727.72,41.8,0.3116
1779511903.7467031,1.97,493.53,137.67,214.35,727.26,48.8,0.3116
1779511904.2207532,1.97,441.71,118.39,181.67,727.61,50.8,0.3116
1779511904.7445073,1.97,489.69,132.13,216.59,727.4,44.7,0.3116
1779511905.2476065,1.97,471.14,135.06,188.77,727.37,50.5,0.3116
1779511905.8001764,1.89,522.04,148.45,232.91,727.27,68.4,0.3116
